cnt	line1
523018	select <- icmp
495223	add <- phi
324337	icmp <- and
276959	icmp <- phi
271250	zext <- and
260483	add <- zext
254701	and <- trunc
253103	icmp <- add
248566	or <- icmp
239010	br <- select
234447	trunc <- phi
234447	lshr <- phi
125772	and <- icmp
87007	br <- icmp
83220	select <- or
75017	br <- or
48070	select <- zext
46376	or <- and
43007	and <- select
33510	lshr <- select
33250	or <- phi
33173	or <- zext
33172	and <- lshr
31520	zext <- icmp
31401	add <- and
31401	select <- add
29714	br <- and
28704	icmp <- lshr
26778	shl <- zext
25396	ret <- phi
23140	icmp <- select
22273	add <- shl
21665	call <- call
20255	trunc <- lshr
20046	select <- and
20046	add <- select
19689	sub <- select
16807	select <- phi
16755	call <- and
16625	trunc <- select
16625	shl <- add
16625	and <- add
16586	call <- trunc
16586	ret <- or
16504	mul <- select
15436	call <- add
13180	call <- sub
13126	select <- select
10342	call <- phi
10024	lshr <- xor
9510	and <- or
8252	call <- mul
7790	icmp <- call
7607	xor <- lshr
7607	xor <- zext
7607	trunc <- xor
7505	switch <- and
7258	zext <- call
7258	sub <- call
6563	shl <- select
5868	icmp <- sub
5782	and <- phi
5782	zext <- or
5667	shl <- phi
5519	call <- select
5400	call <- zext
3748	select <- xor
3748	ret <- call
3668	shl <- call
3668	shl <- trunc
3629	sub <- sub
3629	lshr <- zext
3629	add <- lshr
3629	lshr <- add
3629	xor <- shl
3629	zext <- xor
3629	and <- zext
3629	trunc <- add
3629	zext <- shl
3629	icmp <- zext
3542	icmp <- shl
2988	call <- load
2934	zext <- sub
2934	sub <- shl
2019	udiv <- shl
2019	udiv <- select
2019	add <- udiv
2019	urem <- shl
2019	urem <- select
1992	load <- getelementptr
1771	sub <- and
1771	select <- sub
1771	shl <- urem
1771	icmp <- urem
760	lshr <- call
760	sub <- lshr
233	select <- call
78	and <- xor
39	select <- shl
24	getelementptr <- phi
16	call <- alloca
14	getelementptr <- alloca
14	store <- getelementptr
13	sub <- phi
12	store <- select
3	store <- call
1	store <- alloca
